t,ma2,ma3,ma5,t+1
9152404.28,8931512.07,9509867.95,8802650.196,7858953.95
7858953.95,8505679.115,8573992.697,8173620.394,15518910.19
15518910.19,11688932.07,10843422.81,10381493.6,11526423.32
11526423.32,13522666.76,11634762.49,10553462.32,6842526.97
6842526.97,9184475.145,11295953.49,10179843.74,9938046.95
9938046.95,8390286.96,9435665.747,10336972.28,6006312.44
6006312.44,7972179.695,7595628.787,9966443.974,16962307.27
16962307.27,11484309.86,10968888.89,10255123.39,5468354.27
5468354.27,11215330.77,9478991.327,9043509.58,10345270.09
10345270.09,7906812.18,10925310.54,9744058.204,5224083.4
5224083.4,7784676.745,7012569.253,8801265.494,11371393.4
11371393.4,8297738.4,8980248.963,9874281.686,7796155.99
7796155.99,9583774.695,8130544.263,8041051.43,10195086.99
10195086.99,8995621.49,9787545.46,8986397.974,19216633.68
19216633.68,14705860.34,12402625.55,10760670.69,5944606.88
5944606.88,12580620.28,11785442.52,10904775.39,6639272.74
6639272.74,6291939.81,10600171.1,9958351.256,7678862.31
7678862.31,7159067.525,6754247.31,9934892.52,9744162.87
9744162.87,8711512.59,8020765.973,9844707.696,20957922.5
20957922.5,15351042.69,12793649.23,10192965.46,5517532.23
5517532.23,13237727.37,12073205.87,10107550.53,8015176.05
8015176.05,6766354.14,11496876.93,10382731.19,8820888.83
8820888.83,8418032.44,7451199.037,10611136.5,7449410.93
7449410.93,8135149.88,8095158.603,10152186.11,7094934.35
7094934.35,7272172.64,7788411.37,7379588.478,12583079.11
12583079.11,9839006.73,9042474.797,8792697.854,16258580
16258580,14420829.56,11978864.49,10441378.64,7189103.51
7189103.51,11723841.76,12010254.21,10115021.58,9495873.56
9495873.56,8342488.535,10981185.69,10524314.11,7898953.95
7898953.95,8697413.755,8194643.673,10685118.03,9483483.36
9483483.36,8691218.655,8959436.957,10065198.88,21045809.86
21045809.86,15264646.61,12809415.72,11022644.85,6166075.26
6166075.26,13605942.56,12231789.49,10818039.2,8646174.63
8646174.63,7406124.945,11952686.58,10648099.41,7998928.19
7998928.19,8322551.41,7603726.027,10668094.26,7623124.88
7623124.88,7811026.535,8089409.233,10296022.56,9075265.5
9075265.5,8349195.19,8232439.523,7901913.692,23304094.8
23304094.8,16189680.15,13334161.73,11329517.6,12560149.18
12560149.18,17932121.99,14979836.49,12112312.51,7358604.35
7358604.35,9959376.765,14407616.11,11984247.74,6806248.3
6806248.3,7082426.325,8908333.943,11820872.43,23453471.21
23453471.21,15129859.76,12539441.29,14696513.57,7096595.26
7096595.26,15275033.24,12452104.92,11455013.66,26327685.96
26327685.96,16712140.61,18959250.81,14208521.02,7916687.83
7916687.83,17122186.9,13780323.02,14320137.71,7759888.64
7759888.64,7838288.235,14001420.81,14510865.78,5595767.13
5595767.13,6677827.885,7090781.2,10939324.96,12263902.66
12263902.66,8929834.895,8539852.81,11972786.44,8207841.78
8207841.78,10235872.22,8689170.523,8348817.608,21756980.09
21756980.09,14982410.94,14076241.51,11116876.06,6716837.3
6716837.3,14236908.7,12227219.72,10908265.79,6005923.42
6005923.42,6361380.36,11493246.94,10990297.05,6150511.38
6150511.38,6078217.4,6291090.7,9767618.794,7632600.99
7632600.99,6891556.185,6596345.263,9652570.636,7268826.03
7268826.03,7450713.51,7017312.8,6754939.824,22264142.57
